,home_team,empate_home,gano_home,perdio_home,empate_away,perdio_away,gano_away,gano,perdio,empate,num_partidos,gano_perc,perdio_perc,empate_perc,tournament_name,index_tournament
731,Veracruz,2.0,1.0,5.0,3.0,3.0,3.0,4.0,8.0,5.0,17.0,0.23529411764705882,0.47058823529411764,0.29411764705882354,clausura 2008,41
732,America,2.0,3.0,4.0,4.0,2.0,2.0,5.0,6.0,6.0,17.0,0.29411764705882354,0.35294117647058826,0.35294117647058826,apertura 2008,42
733,Atlante,5.0,5.0,1.0,4.0,4.0,2.0,7.0,5.0,9.0,21.0,0.3333333333333333,0.23809523809523808,0.42857142857142855,apertura 2008,42
734,Atlas,2.0,4.0,3.0,2.0,4.0,2.0,6.0,7.0,4.0,17.0,0.35294117647058826,0.4117647058823529,0.23529411764705882,apertura 2008,42
735,Chiapas FC,4.0,4.0,2.0,1.0,4.0,4.0,8.0,6.0,5.0,19.0,0.42105263157894735,0.3157894736842105,0.2631578947368421,apertura 2008,42
736,Chivas,4.0,3.0,1.0,3.0,3.0,3.0,6.0,4.0,7.0,17.0,0.35294117647058826,0.23529411764705882,0.4117647058823529,apertura 2008,42
737,Club Queretaro,2.0,3.0,3.0,1.0,6.0,2.0,5.0,9.0,3.0,17.0,0.29411764705882354,0.5294117647058824,0.17647058823529413,apertura 2008,42
738,Cruz Azul,4.0,5.0,3.0,3.0,3.0,5.0,10.0,6.0,7.0,23.0,0.43478260869565216,0.2608695652173913,0.30434782608695654,apertura 2008,42
739,Estudiantes,4.0,4.0,1.0,1.0,6.0,3.0,7.0,7.0,5.0,19.0,0.3684210526315789,0.3684210526315789,0.2631578947368421,apertura 2008,42
740,Indios,2.0,3.0,4.0,2.0,4.0,2.0,5.0,8.0,4.0,17.0,0.29411764705882354,0.47058823529411764,0.23529411764705882,apertura 2008,42
741,Monterrey,0.0,4.0,4.0,4.0,4.0,1.0,5.0,8.0,0.0,13.0,0.38461538461538464,0.6153846153846154,0.0,apertura 2008,42
742,Morelia,2.0,4.0,2.0,4.0,3.0,2.0,6.0,5.0,6.0,17.0,0.35294117647058826,0.29411764705882354,0.35294117647058826,apertura 2008,42
743,Necaxa,5.0,1.0,2.0,3.0,4.0,2.0,3.0,6.0,8.0,17.0,0.17647058823529413,0.35294117647058826,0.47058823529411764,apertura 2008,42
744,Pachuca,3.0,4.0,1.0,3.0,5.0,1.0,5.0,6.0,6.0,17.0,0.29411764705882354,0.35294117647058826,0.35294117647058826,apertura 2008,42
745,Puebla,6.0,2.0,1.0,3.0,5.0,0.0,0.0,6.0,9.0,15.0,0.0,0.4,0.6,apertura 2008,42
746,Pumas,2.0,5.0,3.0,4.0,3.0,2.0,7.0,6.0,6.0,19.0,0.3684210526315789,0.3157894736842105,0.3157894736842105,apertura 2008,42
747,Santos,5.0,5.0,0.0,3.0,6.0,2.0,7.0,0.0,8.0,15.0,0.4666666666666667,0.0,0.5333333333333333,apertura 2008,42
748,Tigres,3.0,3.0,4.0,4.0,1.0,4.0,7.0,5.0,7.0,19.0,0.3684210526315789,0.2631578947368421,0.3684210526315789,apertura 2008,42
749,Toluca,1.0,8.0,2.0,7.0,3.0,2.0,10.0,5.0,8.0,23.0,0.43478260869565216,0.21739130434782608,0.34782608695652173,apertura 2008,42
750,Club Queretaro,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,clausura 2009,43
751,Estudiantes,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,clausura 2009,43
752,Indios,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,clausura 2009,43
753,Monterrey,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,clausura 2009,43
754,Pachuca,1.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,5.0,0.6,0.4,0.0,clausura 2009,43
